ms12,ms16,r12,r16
,Isolated parent,,13025.239
Married or pacsed couple,Married or pacsed couple,45092.352,31870.115
Isolated parent,Isolated parent,12810.991,10804.836
Married or pacsed couple,Married or pacsed couple,53279.09,42096.578
Cohabitant,Cohabitant,63863.242,54135.617
Cohabitant,Cohabitant,51906.863,60902.57
Married or pacsed couple,Married or pacsed couple,42147.742,37496.414
Married or pacsed couple,Married or pacsed couple,39258.277,48722.051
Married or pacsed couple,Married or pacsed couple,48732.684,43405.219
Married or pacsed couple,Married or pacsed couple,22820.365,25751.135
Married or pacsed couple,Married or pacsed couple,53600.492,66779.867
Married or pacsed couple,Married or pacsed couple,57781.027,67352.93
Married or pacsed couple,Cohabitant,7065.6606,11810.26
Married or pacsed couple,,39509.59,
Married or pacsed couple,Married or pacsed couple,83231.031,5102.6162
Married or pacsed couple,Married or pacsed couple,44866.609,44717.082
Isolated parent,Married or pacsed couple,30274.725,23452.611
Married or pacsed couple,Married or pacsed couple,43708.77,44901.957
,Isolated parent,,13089.793
Married or pacsed couple,Isolated parent,51325.078,9396.2627
Married or pacsed couple,Married or pacsed couple,45427.438,20150.637
Married or pacsed couple,Married or pacsed couple,45269.797,64359.469
Married or pacsed couple,Married or pacsed couple,,30756.559
Married or pacsed couple,Married or pacsed couple,,56875.809
Married or pacsed couple,Married or pacsed couple,39025.684,41908.488
Married or pacsed couple,Married or pacsed couple,75654.289,74184.68
Married or pacsed couple,Married or pacsed couple,51513.91,46398.688
Married or pacsed couple,Married or pacsed couple,32781.574,33590.535
Isolated parent,Isolated parent,16494.838,14435.066
Married or pacsed couple,Isolated parent,56083.258,46870.516
Married or pacsed couple,Married or pacsed couple,40586.711,39058.762
Married or pacsed couple,Married or pacsed couple,19682.318,14533.786
Married or pacsed couple,Married or pacsed couple,71207.133,
Married or pacsed couple,Married or pacsed couple,41612.281,36984.277
Married or pacsed couple,Isolated parent,,32245.623
Married or pacsed couple,Married or pacsed couple,47604.438,44717.082
Married or pacsed couple,Married or pacsed couple,24623.18,24801.547
Married or pacsed couple,Married or pacsed couple,49072.848,47336.059
Married or pacsed couple,Married or pacsed couple,55692.438,61672.43
Married or pacsed couple,Isolated parent,19046.598,17185.855
Married or pacsed couple,Married or pacsed couple,76577.102,77090.531
Married or pacsed couple,Married or pacsed couple,28098.492,19462.129
Married or pacsed couple,Married or pacsed couple,91233.211,104771.22
Married or pacsed couple,Married or pacsed couple,58230.922,175916.3
Married or pacsed couple,Married or pacsed couple,44866.609,41922.262
Married or pacsed couple,Married or pacsed couple,54739.922,57923.52
Isolated parent,Isolated parent,15983.271,20310.557
Married or pacsed couple,Married or pacsed couple,28392.99,23857.516
Married or pacsed couple,Married or pacsed couple,60822.133,24507.871
Isolated parent,Isolated parent,31295.375,24955.533
Married or pacsed couple,Married or pacsed couple,43708.77,21570.979
Married or pacsed couple,Married or pacsed couple,35052.039,41922.262
Married or pacsed couple,Isolated parent,53219.371,44883.801
Married or pacsed couple,Cohabitant,50474.93,36518.203
Married or pacsed couple,Married or pacsed couple,28392.99,31870.115
Married or pacsed couple,Married or pacsed couple,53219.371,53882.344
Married or pacsed couple,Married or pacsed couple,20735.311,22094.973
Married or pacsed couple,Married or pacsed couple,25553.693,22358.541
Isolated parent,Isolated parent,20633.814,15371.496
,Married or pacsed couple,,15371.496
Married or pacsed couple,Isolated parent,23808.246,27060.705
Married or pacsed couple,Married or pacsed couple,19439.352,15119.085
Married or pacsed couple,Married or pacsed couple,,39058.762
Married or pacsed couple,Married or pacsed couple,67266,52385.609
Married or pacsed couple,Married or pacsed couple,25150.594,25256.66
Married or pacsed couple,Married or pacsed couple,22031.268,19511.197
Isolated parent,Isolated parent,15551.482,17644.529
Married or pacsed couple,Isolated parent,20754.195,19134.807
Married or pacsed couple,Married or pacsed couple,31232.291,34442.652
Married or pacsed couple,Married or pacsed couple,60256.387,111763.7
Married or pacsed couple,Married or pacsed couple,37856.199,41922.262
Married or pacsed couple,Married or pacsed couple,54739.922,55379.078
Cohabitant,Isolated parent,,6601.5425
Married or pacsed couple,Married or pacsed couple,35903.629,24528.975
Married or pacsed couple,Married or pacsed couple,16847.439,181015.28
Married or pacsed couple,Married or pacsed couple,14919.835,
Married or pacsed couple,Married or pacsed couple,75654.289,74836.594
Married or pacsed couple,Married or pacsed couple,34132.949,35934.063
Married or pacsed couple,Married or pacsed couple,49072.848,29885.77
Married or pacsed couple,Married or pacsed couple,100356.52,66857.57
Married or pacsed couple,Married or pacsed couple,13570.701,9642.1201
Married or pacsed couple,Married or pacsed couple,42062.445,37853.621
Cohabitant,Isolated parent,37324.008,36080.938
Married or pacsed couple,Married or pacsed couple,17035.795,13256.984
Isolated parent,Isolated parent,19875.094,21915.525
Married or pacsed couple,Married or pacsed couple,15551.482,10494.727
Isolated parent,Married or pacsed couple,15872.165,21792.619
Married or pacsed couple,Married or pacsed couple,45269.797,52385.609
Married or pacsed couple,Married or pacsed couple,51906.863,33187.809
Married or pacsed couple,Married or pacsed couple,64961.934,49539.137
Married or pacsed couple,Married or pacsed couple,65383.801,62422.758
Married or pacsed couple,Married or pacsed couple,,14172.312
Married or pacsed couple,Married or pacsed couple,27202.008,35351.957
Married or pacsed couple,Married or pacsed couple,19875.094,13726.291
Married or pacsed couple,Married or pacsed couple,72871.328,67669.516
Married or pacsed couple,Married or pacsed couple,23327.225,22094.973
Married or pacsed couple,Married or pacsed couple,60822.133,67352.93
Married or pacsed couple,Married or pacsed couple,39258.277,62920.793
Married or pacsed couple,Married or pacsed couple,21294.744,28655.186
Isolated parent,Isolated parent,12776.847,16768.906
Married or pacsed couple,Married or pacsed couple,62653.988,71951.164
Married or pacsed couple,Married or pacsed couple,114437.52,112644.7
Married or pacsed couple,Married or pacsed couple,46268.688,47336.059
Cohabitant,Cohabitant,42147.742,38269.613
Married or pacsed couple,Married or pacsed couple,22714.393,16777.926
Married or pacsed couple,Married or pacsed couple,53600.492,64359.469
Married or pacsed couple,Married or pacsed couple,18327.598,20410.463
Married or pacsed couple,Isolated parent,45092.352,24148.883
Married or pacsed couple,Married or pacsed couple,59301.582,64167.742
,,,
Cohabitant,Cohabitant,64503.945,64512.781
Married or pacsed couple,Married or pacsed couple,26367.586,18842.656
Married or pacsed couple,Married or pacsed couple,53599.504,59869.273
Married or pacsed couple,Married or pacsed couple,55978.98,59869.273
Married or pacsed couple,Married or pacsed couple,53219.371,54736.254
Isolated parent,Isolated parent,18143.395,20027.766
Married or pacsed couple,Married or pacsed couple,31102.965,44647.891
Married or pacsed couple,Married or pacsed couple,60822.133,59869.273
Married or pacsed couple,Married or pacsed couple,32398.92,41922.262
Married or pacsed couple,Married or pacsed couple,43814.035,44901.957
Married or pacsed couple,Married or pacsed couple,68424.906,74836.594
Married or pacsed couple,Married or pacsed couple,45768.594,54736.254
Married or pacsed couple,Married or pacsed couple,28392.99,60902.57
Married or pacsed couple,Married or pacsed couple,51175.977,54135.617
Married or pacsed couple,Married or pacsed couple,69034.266,67669.516
Married or pacsed couple,Married or pacsed couple,56083.258,54135.617
Married or pacsed couple,Married or pacsed couple,35876.215,43405.219
Married or pacsed couple,Married or pacsed couple,46876.238,64496.098
Married or pacsed couple,Isolated parent,53219.371,39689.031
Isolated parent,Married or pacsed couple,52581.23,73664.281
Married or pacsed couple,Married or pacsed couple,43708.77,21757.021
